model,kind,unit,scope,module,mean,std
XGBoost,group,VLE 활동량,within_module,CCC,0.0010679877331287902,0.004816352983764091
XGBoost,group,VLE 활동량,within_module,DDD,0.005004426962001243,0.0070503995113815774
XGBoost,group,VLE 활동량,within_module,EEE,0.07235241440213322,0.031134209624999694
XGBoost,group,VLE 활동량,within_module,FFF,0.007423105302819799,0.007349670353179673
XGBoost,group,VLE 활동량,within_module,GGG,0.01923749220490901,0.020822365186120375
XGBoost,group,과목·개강 시기,global,ALL,0.043687207852439174,0.008015657247376878
XGBoost,group,과목·개강 시기,within_module,AAA,0.0,0.0
XGBoost,group,과목·개강 시기,within_module,ALL,0.003590690913106118,0.0020512765685387077
XGBoost,group,과목·개강 시기,within_module,BBB,0.008012751312555513,0.006083393968255941
XGBoost,group,과목·개강 시기,within_module,CCC,0.0,0.0
XGBoost,group,과목·개강 시기,within_module,DDD,0.004697360149141707,0.006405105700660407
XGBoost,group,과목·개강 시기,within_module,EEE,-0.01174412535975618,0.018941061686920904
XGBoost,group,과목·개강 시기,within_module,FFF,0.0042198007915795425,0.005744064708724366
XGBoost,group,과목·개강 시기,within_module,GGG,0.03343335285788501,0.023705765500296686
XGBoost,group,수강 부담·등록,global,ALL,0.020093111743939854,0.0032532975974462245
XGBoost,group,수강 부담·등록,within_module,AAA,0.0185572279939752,0.06127168815577438
XGBoost,group,수강 부담·등록,within_module,ALL,0.017936100293773266,0.00443881749369582
XGBoost,group,수강 부담·등록,within_module,BBB,0.010596897960673975,0.012289359243484305
XGBoost,group,수강 부담·등록,within_module,CCC,0.02242327732233283,0.005253289164911895
XGBoost,group,수강 부담·등록,within_module,DDD,0.027207087432473798,0.01734521856125819
XGBoost,group,수강 부담·등록,within_module,EEE,0.02156166597659657,0.03762299015082295
XGBoost,group,수강 부담·등록,within_module,FFF,0.016999454807487175,0.007083731324238952
XGBoost,group,수강 부담·등록,within_module,GGG,0.010028604712135274,0.019089914475178077
XGBoost,group,인구통계·사회경제,global,ALL,0.015266627891640464,0.004631390674721844
XGBoost,group,인구통계·사회경제,within_module,AAA,-0.005425870418039463,0.027092282173579594
XGBoost,group,인구통계·사회경제,within_module,ALL,0.013894656460255932,0.005460000520948009
XGBoost,group,인구통계·사회경제,within_module,BBB,0.014605150683183918,0.016001604917547835
XGBoost,group,인구통계·사회경제,within_module,CCC,-0.002306103984103076,0.022726476713451446
XGBoost,group,인구통계·사회경제,within_module,DDD,0.02598332545093378,0.01033776116198962
XGBoost,group,인구통계·사회경제,within_module,EEE,-0.003613312309424195,0.01921835540166828
XGBoost,group,인구통계·사회경제,within_module,FFF,0.023488864023646822,0.017241776443930722
XGBoost,group,인구통계·사회경제,within_module,GGG,0.00992130036582553,0.036095533460866976
XGBoost,group,재수강 이력,global,ALL,0.0007564703184156473,0.0013225352006306357
XGBoost,group,재수강 이력,within_module,AAA,0.0,0.0
XGBoost,group,재수강 이력,within_module,ALL,0.001098070594575593,0.0013714587259472811
XGBoost,group,재수강 이력,within_module,BBB,0.0030756826899027544,0.00409834374883255
XGBoost,group,재수강 이력,within_module,CCC,0.0,0.0
XGBoost,group,재수강 이력,within_module,DDD,0.0011435784121106574,0.0025424833001947084
XGBoost,group,재수강 이력,within_module,EEE,0.004204416629734887,0.004653690666192888
XGBoost,group,재수강 이력,within_module,FFF,0.005657758955650893,0.005863460554171356
XGBoost,group,재수강 이력,within_module,GGG,-0.0004112686003324256,0.001687471905358029
XGBoost,group,평가 점수·제출 시점,global,ALL,0.15518401534536422,0.01401821614129999
XGBoost,group,평가 점수·제출 시점,value_only,ALL,0.09839492537001307,0.01390265904725785
XGBoost,group,평가 점수·제출 시점,within_module,AAA,0.10861717942291964,0.12967599434903135
XGBoost,group,평가 점수·제출 시점,within_module,ALL,0.14477479453539158,0.011332033043156215
XGBoost,group,평가 점수·제출 시점,within_module,BBB,0.11674810491310975,0.02658159723339088
XGBoost,group,평가 점수·제출 시점,within_module,CCC,0.19022706174267462,0.033202056504256526
XGBoost,group,평가 점수·제출 시점,within_module,DDD,0.18666927905780378,0.03644078356356126
XGBoost,group,평가 점수·제출 시점,within_module,EEE,0.0,0.0
XGBoost,group,평가 점수·제출 시점,within_module,FFF,0.12696482085147895,0.02621590824734976
XGBoost,group,평가 점수·제출 시점,within_module,GGG,0.0,0.0
XGBoost,group,평가 제출,global,ALL,0.037412580804578016,0.003923196863107987
XGBoost,group,평가 제출,within_module,AAA,0.007672755651993228,0.011214763524671195
XGBoost,group,평가 제출,within_module,ALL,0.006835682104114142,0.003508669238681955
XGBoost,group,평가 제출,within_module,BBB,0.007851463585959607,0.006333005372713973
XGBoost,group,평가 제출,within_module,CCC,-8.940455512150836e-05,0.002148942288151693
XGBoost,group,평가 제출,within_module,DDD,0.014792857424149694,0.00446581409685331
XGBoost,group,평가 제출,within_module,EEE,0.0,0.0
XGBoost,group,평가 제출,within_module,FFF,0.0053481189689798285,0.00580620791943684
XGBoost,group,평가 제출,within_module,GGG,0.0,0.0
